chest,lu,lf,ru,rf,pelvis,lt,lc,rt,rc
0.44#-0.469#0.087#0.761,-0.066#0.054#-0.034#0.996,-0.297#-0.251#0.381#0.839,-0.031#-0.557#0.038#0.829,-0.578#-0.272#-0.22#0.738,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.44#-0.469#0.087#0.761,-0.066#0.054#-0.034#0.996,-0.297#-0.251#0.381#0.839,-0.031#-0.557#0.038#0.829,-0.578#-0.272#-0.22#0.738,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.44#-0.469#0.087#0.761,-0.066#0.054#-0.034#0.996,-0.297#-0.251#0.381#0.839,-0.031#-0.557#0.038#0.829,-0.578#-0.272#-0.221#0.737,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.44#-0.469#0.087#0.761,-0.066#0.054#-0.034#0.996,-0.297#-0.251#0.381#0.839,-0.031#-0.557#0.038#0.829,-0.578#-0.272#-0.221#0.737,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.44#-0.469#0.087#0.761,-0.066#0.054#-0.034#0.996,-0.297#-0.251#0.381#0.839,-0.031#-0.557#0.038#0.829,-0.578#-0.272#-0.221#0.737,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.44#-0.469#0.087#0.761,-0.066#0.054#-0.034#0.996,-0.297#-0.251#0.381#0.839,-0.031#-0.558#0.038#0.828,-0.578#-0.272#-0.221#0.737,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.44#-0.469#0.087#0.761,-0.066#0.054#-0.034#0.996,-0.297#-0.251#0.381#0.839,-0.031#-0.558#0.038#0.828,-0.578#-0.272#-0.221#0.737,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.44#-0.469#0.087#0.761,-0.066#0.054#-0.034#0.996,-0.297#-0.251#0.381#0.839,-0.031#-0.558#0.038#0.828,-0.578#-0.272#-0.221#0.737,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.44#-0.469#0.086#0.761,-0.066#0.054#-0.034#0.996,-0.297#-0.251#0.381#0.839,-0.031#-0.558#0.038#0.828,-0.578#-0.271#-0.222#0.737,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.44#-0.469#0.086#0.761,-0.066#0.054#-0.034#0.996,-0.297#-0.252#0.38#0.839,-0.031#-0.558#0.038#0.828,-0.578#-0.271#-0.222#0.737,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
